,FeatureImportances,FeatureNames
112,6.2064672420587665e-06,cat__HUC8_15-030104
113,1.377234739894262e-07,cat__HUC8_15-030107
114,1.728909292767384e-05,cat__HUC8_16-050101
115,0.0001034774570711576,cat__HUC8_16-050102
116,2.883352549362509e-06,cat__HUC8_16-050201
117,0.00043414731470319483,cat__HUC8_16-050301
118,7.733086961867309e-06,cat__HUC8_16-050302
119,0.0,cat__HUC8_16-060015
120,3.594561931831654e-07,cat__HUC8_17-100312
121,4.137950363884967e-05,cat__HUC8_18-010101
122,0.0005110608224572812,cat__HUC8_18-010102
123,0.00016708494699131454,cat__HUC8_18-010103
124,9.128520322381443e-07,cat__HUC8_18-010104
125,8.060490010226508e-05,cat__HUC8_18-010105
126,5.677023887272295e-05,cat__HUC8_18-010106
127,0.0,cat__HUC8_18-010107
128,0.005763206649209143,cat__HUC8_18-010108
129,0.00023155855926905696,cat__HUC8_18-010109
130,0.0019687307047560705,cat__HUC8_18-010110
131,1.2663387948591047e-05,cat__HUC8_18-010204
132,2.2598840516673988e-05,cat__HUC8_18-010205
133,9.917111201095919e-06,cat__HUC8_18-010206
134,0.00033062824135497807,cat__HUC8_18-010207
135,0.0003567241756945674,cat__HUC8_18-010208
136,3.590018017078736e-05,cat__HUC8_18-010209
137,0.00013759216778928387,cat__HUC8_18-010211
138,0.0,cat__HUC8_18-010212
139,8.858005077485684e-06,cat__HUC8_18-020002
140,4.476434578688328e-05,cat__HUC8_18-020003
141,9.955825699777464e-05,cat__HUC8_18-020004
142,0.0011452474833729075,cat__HUC8_18-020005
143,0.007923648423113275,cat__HUC8_18-020104
144,0.0003707489089132589,cat__HUC8_18-020111
145,0.00025772108063487555,cat__HUC8_18-020115
146,0.0025215109727148217,cat__HUC8_18-020116
147,0.0006647008203967774,cat__HUC8_18-020121
148,3.500377317841138e-05,cat__HUC8_18-020122
149,0.000460622419777598,cat__HUC8_18-020123
150,0.0018767427695055346,cat__HUC8_18-020125
151,0.0005620153408484367,cat__HUC8_18-020126
152,0.0009875289348394965,cat__HUC8_18-020128
153,0.0005065838716305328,cat__HUC8_18-020129
